,Address,Distance_from_Airport,Distance_from_city_center,Hotel_Rating,Hotel_name,Hotel_price
0,"8B, Gulab Estate, Sakinaka Tele, Exchange Lane, Near Sakinaka, Andheri, Mumbai, 400072, India",1.0 km to Chhatrapati Shivaji International Airport (BOM),19 km to City centre,,FabHotel Arton Suites Andheri East,"Rs2,639"
1,"Rec at 303 TiliaNahar's Amrit Shakti, Chandivali, Near Jain Temple, Mumbai, Maharashtra, 400072, India",3.2 km to Chhatrapati Shivaji International Airport (BOM),21 km to City centre,3.4,OYO 689 Powai,
2,"Mashood Shopping Centre, 16 Pitha Street, Janmabhoomi Marg, Fort., Mumbai, Maharashtra, 400001, India",18 km to Chhatrapati Shivaji International Airport (BOM),0.2 km to City centre,6.0,Hotel Flora Fountain,"Rs3,000"
3,"No.10-A Pitha Street, Opp Citi Bank, Mumbai, MH, 400050, India",18 km to Chhatrapati Shivaji International Airport (BOM),0.2 km to City centre,,Deluxe Inn,
4,"26, Corner of D.N. Road, and Rustom Sidhwa Marg, Fort, Mumbai, Maharashtra, 400 001, India",18 km to Chhatrapati Shivaji International Airport (BOM),0.3 km to City centre,8.6,Residency Hotel - Fort - Mumbai,"Rs3,672"
5,"16, Gunbow Street, 1st Floor, Benazeer House, Fort, Mumbai, Maharashtra, 400 001, India",18 km to Chhatrapati Shivaji International Airport (BOM),0.4 km to City centre,3.0,Benazeer Hotel,
